priority_rank,name,slug,threadcount,palette,symmetric,thread_total,demand_score,category,sources_verifying,verified_by,colour_agreement,listed_house_of_tartan,listed_weddslist,primary_source,designer,tartan_date,stwr_ref,restriction_status,restrictions,origin_url
120,"Cranstoun Clan Tartan Tartan Number: 706. Earliest known date: 1842 References: The Setts No: 35. W & A K Johnston, 1906. D.C.Stewart (The Setts of the Scottish Tartans, 1950) would have the light green and dark green transposed but this does not correspond to the Vestiarium Scoticum, the only known source for the tartan. The VS version is shown. See products available Copyright © Blair Urquhart, Comrie, 2015",cranstoun-clan-tartan-tartan-number-706-earliest-known-date-1842-references-the-setts-no-35-w-a-k-johnston-1906-d-c-stewart-the-setts-of-the-scottish-tartans-1950-would-have-the-light-green-and-dark-green-transposed-but-this-does-not-correspond-to-the-vestiarium-scoticum-the-only-known-source-for-the-tartan-the-vs-version-is-shown-see-products-available-copyright-blair-urquhart-comrie-2015,LG/28 B2 LG2 B2 LG6 B12 G24 R/4,B#2C2C80 BLUE; G#006818 GREEN; LG#289C18 LIGHT GREEN; R#C80000 RED;,yes,128,60,Scottish Tartans Society,2,House of Tartan; Weddslist,2/2,yes,yes,House of Tartan,,,,none,,http://www.house-of-tartan.scotland.net/house/TartanViewjs.asp?colr=Def&tnam=706
121,"Cree Clan Tartan Tartan Number: 1856. Earliest known date: 1981 A branch of the Stewart clan from Galloway and the South West of Scotland. See products available Copyright © Blair Urquhart, Comrie, 2015",cree-clan-tartan-tartan-number-1856-earliest-known-date-1981-a-branch-of-the-stewart-clan-from-galloway-and-the-south-west-of-scotland-see-products-available-copyright-blair-urquhart-comrie-2015,W/6 R6 K6 R10 G14 K4 W6 K4 Y6 K14 B4 DT44 Y/6,K#101010 BLACK; B#2C2C80 BLUE; DT#441800 DARK BROWN; G#006818 GREEN; R#C80000 RED; W#E0E0E0 WHITE; Y#E8C000 YELLOW;,yes,248,60,Scottish Tartans Society,2,House of Tartan; Weddslist,2/2,yes,yes,House of Tartan,,,,none,,http://www.house-of-tartan.scotland.net/house/TartanViewjs.asp?colr=Def&tnam=1856
122,Crinnion (Middlesbrough) (Personal),crinnion-middlesbrough-personal,B/12 K4 N12 P16 G/12,B#275EDC ROYAL BLUE; K#101010 BLACK; N#D1D5CD SHALE GREY; P#761CA0 DEEP PURPLE; G#0BB43F EMERALD GREEN;,yes,88,60,Name,2,Scottish Register of Tartans; Scottish Tartans Authority,1/2,no,no,Scottish Register of Tartans,"Crinnion, Michelle",28/10/2012,,weaver_note,Yes. For Michelle Crinnon and her immediate family only.,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=10789
123,Dalgliesh Dress,dalgliesh-dress,G/20 K20 LN8 K4 DY4 K4 LN6 K24 LN24 K4 LN/6,K#101010 BLACK; DY#E8C000 GOLD; G#006818 GREEN; LN#C0C0C0 LIGHT GRAY;,yes,222,60,Clan; Family,2,Scottish Register of Tartans; Scottish Tartans Authority,2/2,no,no,Scottish Register of Tartans,"Dalgliesh, D. C.",01/01/2002,,weaver_note,Yes. Prepared for weaving by D C Dalgliesh Ltd.,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=876
124,"Dauphinee (Trussville, Alabama) (Personal)",dauphinee-trussville-alabama-personal,R/18 K8 W12 K8 B42 Y6 B26 K4 W8 K4 R/12,R#FF0000 BRIGHT SCARLET; K#101010 BLACK; W#FFFFFF PEROXIDE WHITE; B#1B3357 RRAITH BLUE; Y#EEB422 GOLD;,yes,266,60,Name,2,Scottish Register of Tartans; Scottish Tartans Authority,1/2,no,no,Scottish Register of Tartans,"Dauphinee, Andrew",27/06/2012,,weaver_note,Yes. For the designer and his family only.,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=10648
125,"Deas Clan Tartan Tartan Number: 2139. Earliest known date: pre 2003 The name Deas is described as an 'alias' for Davidson in historic records, and is a recognised sept of Clan Dhai (Davidson). See products available Copyright © Blair Urquhart, Comrie, 2015",deas-clan-tartan-tartan-number-2139-earliest-known-date-pre-2003-the-name-deas-is-described-as-an-alias-for-davidson-in-historic-records-and-is-a-recognised-sept-of-clan-dhai-davidson-see-products-available-copyright-blair-urquhart-comrie-2015,G/42 K4 R16 K12 R16 K4 B42 K4 B4 K24 Y6 K24 G4 K/4,K#101010 BLACK; B#2C2C80 BLUE; G#006818 GREEN; R#C80000 RED; Y#E8C000 YELLOW;,yes,366,60,Scottish Tartans Society,2,House of Tartan; Weddslist,2/2,yes,yes,House of Tartan,,,,none,,http://www.house-of-tartan.scotland.net/house/TartanViewjs.asp?colr=Def&tnam=2139
126,Deighan (Edinburgh),deighan-edinburgh,DN/8 MB86 K40 DN14 N/4,DN#1B1B1B DARK GREY; MB#01002C MIDNIGHT BLUE; K#101010 BLACK; N#696969 GREY;,yes,292,60,Name,2,Scottish Register of Tartans; Scottish Tartans Authority,1/2,no,no,Scottish Register of Tartans,"Deighan, Mark",18/09/2010,,weaver_note,"Yes. Please seek permission from Mr Mark Deighan, designer, before weaving this tartan.",https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=10287
127,"Denny Hunting Clan Tartan Tartan Number: 518. Earliest known date: pre 2003 This tartan is remarkably similar to the Durham sett designed by Wilson's of Bannockburn around 1819. The variation in proportions may point to a deliberate modification suggested by the links between the names. See products available Copyright © Blair Urquhart, Comrie, 2015",denny-hunting-clan-tartan-tartan-number-518-earliest-known-date-pre-2003-this-tartan-is-remarkably-similar-to-the-durham-sett-designed-by-wilson-s-of-bannockburn-around-1819-the-variation-in-proportions-may-point-to-a-deliberate-modification-suggested-by-the-links-between-the-names-see-products-available-copyright-blair-urquhart-comrie-2015,B/2 R32 G12 K2 G12 K/2,K#101010 BLACK; B#2C2C80 BLUE; G#006818 GREEN; R#C80000 RED;,yes,120,60,Scottish Tartans Society,2,House of Tartan; Weddslist,2/2,yes,yes,House of Tartan,,,,none,,http://www.house-of-tartan.scotland.net/house/TartanViewjs.asp?colr=Def&tnam=518
128,"Dewar, Robert Alexander",dewar-robert-alexander,DG/30 NB16 K10 NB16 DG30 Y6 DG30 NB16 K/10,DG#003820 DARKGREEN; NB#003C64 NAVYBLUE; K#101010 BLACK; Y#E8C000 YELLOW;,yes,288,60,Name,2,Scottish Register of Tartans; Scottish Tartans Authority,1/2,no,no,Scottish Register of Tartans,Dewar/Urquhart,19/02/2009,,weaver_note,Yes. Those of the name of Dewar who wish to use this tartan are requested to contact Mr Robert Dewar via the registrant detailed below.This tartan is to be woven by House of Tartan Ltd only.,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=10006
129,Dobrain (Personal),dobrain-personal,NN/16 LN8 K6 LC28 LN4 K12 NN4 LC8 LN4 LC/48,LC#C82800 GOV CRIMSON; K#000000 BLACK; NN#646464 MEDIUM GREY; LN#8C8C8C LIGHT GREY;,yes,212,60,Name,2,Scottish Register of Tartans; Scottish Tartans Authority,2/2,no,no,Scottish Register of Tartans,"Dalgliesh, D C",01/01/2002,,weaver_note,Yes. Prepared for weaving by D C Dalgliesh Ltd.,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=941
130,Dobson (Palm Bay) (Personal),dobson-palm-bay-personal,DG/30 K24 DB30 T12 Y6 G/90,G#00643C SGREEN; Y#E0A126 GOLD; T#441800 BROWN; DB#202060 DARK BLUE; K#1C1714 BLACK; DG#003820 DARK GREEN;,yes,264,60,Name,2,Scottish Register of Tartans; Scottish Tartans Authority,2/2,no,no,Scottish Register of Tartans,"Matson, Kelly Dobson",07/11/2013,,weaver_note,Yes. Please contact the designer to wear/use this tartan.,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=10943
131,Dow - Aerlift,dow-aerlift,B28 G4 B4 G28 K4 G28 K4 G4 K18 R4 K16 Y4 K18 G4 K4 G28 K4 G28 B4 G4 B28 W4,G#23321B BOTTLE GREEN; B#433A5A ILLINOIS NAVY; K#1C1714 BLACK; R#CA2625 BRIGHT SCARLET; W#F9F5EF PEROXIDE WHITE; Y#E0A126 GOLD;,no,272,60,Name,2,Scottish Register of Tartans; Scottish Tartans Authority,1/2,no,no,Scottish Register of Tartans,"Dow, James & Graham",06/09/2012,,weaver_note,"Yes. Only by weavers who have been specifically requested to weave by a person named ""Dow""; or a person with that as a maiden name; or a person who has a proven lineage to a person named ""Dow"".",https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=10704
132,"Drumlithie Rock and Wheel Tartan Tartan Number: 1414. Earliest known date: pre 2003 tba See products available Copyright © Blair Urquhart, Comrie, 2015",drumlithie-rock-and-wheel-tartan-tartan-number-1414-earliest-known-date-pre-2003-tba-see-products-available-copyright-blair-urquhart-comrie-2015,R/4 P6 LR4 R30 P6 G38 P40 R30 P6 LR4 R/4,G#006818 GREEN; P#780078 PURPLE; R#C80000 RED; LR#D05054 ROSE;,yes,336,60,Scottish Tartans Society,2,House of Tartan; Weddslist,1/2,yes,yes,House of Tartan,,,,none,,http://www.house-of-tartan.scotland.net/house/TartanViewjs.asp?colr=Def&tnam=1414
133,"Drummond Clan Tartan Tartan Number: 457. Earliest known date: 1822 The sett closely resembles the pattern used by McIan for his Drummond figure, which Logan asserts is in fact a Grant tartan. Nevertheless it is established that the Drummonds wore this sett to meet George IV in Edinburgh in 1822. The illustration here come from a sample in the MacGregor-Hastie Collection. There is also a Drummond of Perth sett. See products available Copyright © Blair Urquhart, Comrie, 2015",drummond-clan-tartan-tartan-number-457-earliest-known-date-1822-the-sett-closely-resembles-the-pattern-used-by-mcian-for-his-drummond-figure-which-logan-asserts-is-in-fact-a-grant-tartan-nevertheless-it-is-established-that-the-drummonds-wore-this-sett-to-meet-george-iv-in-edinburgh-in-1822-the-illustration-here-come-from-a-sample-in-the-macgregor-hastie-collection-there-is-also-a-drummond-of-perth-sett-see-products-available-copyright-blair-urquhart-comrie-2015,B/4 R12 B4 R6 G48 R4 G4 R4 B18 R4 A4 R56 B4 R4 B2 R/12,A#5C8CA8 AZURE; B#2C2C80 BLUE; G#006818 GREEN; R#C80000 RED;,yes,364,60,Scottish Tartans Society,2,House of Tartan; Weddslist,2/2,yes,yes,House of Tartan,,,,none,,http://www.house-of-tartan.scotland.net/house/TartanViewjs.asp?colr=Def&tnam=457
134,Drummond of Perth (Clan),drummond-of-perth-clan,R/72 W2 B6 Y2 G32 R16 B6 AB4 W/2,B#2C2C80; W#E0E0E0; G#006818; Y#E8C000; R#C80000; AB#1870A4;,yes,210,60,Robert Bradford,2,Scottish Tartans Authority; House of Tartan,1/2,yes,yes,Scottish Tartans Authority,,,,none,,http://www.tartansauthority.com/tartan-ferret/display/1711/
135,"Drummond of Strathallan Clan Tartan Tartan Number: 671. Earliest known date: 1812 This sett is also known as Ogilvie or Ogilvy. The full sett cannot be displayed in this medium. The Drummond of Strathallan tartan was adopted by the 6th Earl of Airlie on his marriage to Clementina Drummond in 1812. Weavers count available from STS archives. See products available Copyright © Blair Urquhart, Comrie, 2015",drummond-of-strathallan-clan-tartan-tartan-number-671-earliest-known-date-1812-this-sett-is-also-known-as-ogilvie-or-ogilvy-the-full-sett-cannot-be-displayed-in-this-medium-the-drummond-of-strathallan-tartan-was-adopted-by-the-6th-earl-of-airlie-on-his-marriage-to-clementina-drummond-in-1812-weavers-count-available-from-sts-archives-see-products-available-copyright-blair-urquhart-comrie-2015,W/6 G10 Y6 K6 R10 W6 R10 W6 R10 K6 Y6 G26 K6 G26 K6 G26 Y6 K6 R10 W6 R10 W6 R10 K26 W2 B6 W2 K26 Y16 G10 Y6 G10 Y16 B6 R6 K6 R26 W2 B2 W2 R26 W2 B2 W2 R26 K6 R6 B6 Y6 G10 W6 G10 Y6 K10 R10 W6 R10 K6 Y16 G10 Y16 K6 R6 K6 R/6,K#101010 BLACK; B#2C2C80 BLUE; G#006818 GREEN; R#C80000 RED; W#E0E0E0 WHITE; Y#E8C000 YELLOW;,yes,1224,60,Scottish Tartans Society,2,House of Tartan; Weddslist,2/2,yes,yes,House of Tartan,,,,none,,http://www.house-of-tartan.scotland.net/house/TartanViewjs.asp?colr=Def&tnam=671
136,"Dyce Clan Tartan Tartan Number: 291. Earliest known date: 1906 From W & A.K. Johnston 1906. A Dyce appears in J Claude's 1880 pattern books 'Clans Originaux' which shows single black lines on the blue rather than the tramlines shown here. This is the modern accepted version as woven by The House of Edgar. See products available Copyright © Blair Urquhart, Comrie, 2015",dyce-clan-tartan-tartan-number-291-earliest-known-date-1906-from-w-a-k-johnston-1906-a-dyce-appears-in-j-claude-s-1880-pattern-books-clans-originaux-which-shows-single-black-lines-on-the-blue-rather-than-the-tramlines-shown-here-this-is-the-modern-accepted-version-as-woven-by-the-house-of-edgar-see-products-available-copyright-blair-urquhart-comrie-2015,B/18 K2 B2 K2 B2 K16 G16 Y2 K2 Y2 G16 K16 B16 W/2,K#101010 BLACK; B#2C2C80 BLUE; G#006818 GREEN; W#E0E0E0 WHITE; Y#E8C000 YELLOW;,yes,208,60,Scottish Tartans Society,2,House of Tartan; Weddslist,2/2,yes,yes,House of Tartan,,,,none,,http://www.house-of-tartan.scotland.net/house/TartanViewjs.asp?colr=Def&tnam=291
137,Easton (2014),easton-2014,B/6 DB4 W2 DB100 Y2 DB4 R/6,DB#141E46 DARK BLUE; Y#D8B000 YELLOW; R#DC0000 RED; W#FFFFFF WHITE; B#5F749C BLUE;,yes,236,60,Name,2,Scottish Register of Tartans; Scottish Tartans Authority,1/2,no,no,Scottish Register of Tartans,"Dalgliesh, D C",26/08/2014,,weaver_note,Yes. Prepared for weaving by D C Dalgliesh Ltd.,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=11121
138,Edelstein (Personal),edelstein-personal,P/60 B60 G60 W6 DY/6,G#006818 GREEN; P#780078 PURPLE; B#2C2C80 BLUE; W#E0E0E0 WHITE; DY#E8C000 GOLD;,yes,318,60,Name,2,Scottish Register of Tartans; Scottish Tartans Authority,2/2,no,no,Scottish Register of Tartans,"Edelstein, Anthony",01/01/2006,,weaver_note,"Yes. Only direct descendants of Anthony S Edelstein and his wife may wear this tartan. Others may obtain written permission to wear this tartan. No one else may wear or weave this tartan without written permission from the designer, or upon his death, his designee.Permission to weave must be obtained from the designer, or upon his death, his designee.",https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=1071
139,Elbrick Dress (Personal),elbrick-dress-personal,WW/10 BL4 R90 Y4 WG40 R12 BL44 R/12,BL#1474B4 BALMORAL BLUE; WG#408060 WTHRD GREEN; Y#E8C000 YELLOW; R#C80000 RED; WW#FCFCFC WILSON WHITE;,yes,410,60,Name,2,Scottish Register of Tartans; Scottish Tartans Authority,2/2,no,no,Scottish Register of Tartans,Kinloch Anderson Ltd,01/12/2001,2971.0,weaver_note,Yes. Kinloch Anderson Ltd are appointed as custodians for this tartan.,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=1095
140,Elbrick Hunting (Personal),elbrick-hunting-personal,W/10 LB2 G90 Y2 T40 G12 A44 G/12,W#E0E0E0 WHITE; LB#2888C4 LIGHT BLUE; G#006818 GREEN; Y#E8C000 YELLOW; T#604000 BROWN; A#5C8CA8 AZURE;,yes,402,60,Name,2,Scottish Register of Tartans; Scottish Tartans Authority,2/2,no,no,Scottish Register of Tartans,Kinloch Anderson Ltd,01/12/2004,3034.0,weaver_note,Yes. Kinloch Anderson Ltd are the appointed custodians of this tartan.,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=5052
141,"Ferguson Dress Clan Tartan Tartan Number: 92. Earliest known date: 1980 See also 371 where the dark blue is changed to black. These are problably one and the same tartan. Dark blue being the correct colour. See products available Copyright © Blair Urquhart, Comrie, 2015",ferguson-dress-clan-tartan-tartan-number-92-earliest-known-date-1980-see-also-371-where-the-dark-blue-is-changed-to-black-these-are-problably-one-and-the-same-tartan-dark-blue-being-the-correct-colour-see-products-available-copyright-blair-urquhart-comrie-2015,A/68 DB48 W36 DR6 W36 G4 W/6,A#588CA8 AZURE; DB#202060 DARK BLUE; G#006818 GREEN; R#C80000 RED; W#E0E0E0 WHITE; DR#880000 DARK RED; HSB#048888 HSA BLUE;,yes,334,60,Scottish Tartans Society,2,House of Tartan; Weddslist,2/2,yes,yes,House of Tartan,,,,none,,http://www.house-of-tartan.scotland.net/house/TartanViewjs.asp?colr=Def&tnam=92
142,"Ferguson of Athol Clan Tartan Tartan Number: 337. Earliest known date: 1850 D.C. Stewart points to the similarity with the Murray of Athol as a common source or association for the tartan. Some of the Fergussons of Athol and the MacLarens were followers of the Murray of Athol. The Ferguson tartan has a white stripe where the MacLaren has yellow. Chiefs of the clan are the Fergussons of Kilkerran, descended from Fergus of Dalriada, who brought the Stone of Scone to Scotland. See products available Copyright © Blair Urquhart, Comrie, 2015",ferguson-of-athol-clan-tartan-tartan-number-337-earliest-known-date-1850-d-c-stewart-points-to-the-similarity-with-the-murray-of-athol-as-a-common-source-or-association-for-the-tartan-some-of-the-fergussons-of-athol-and-the-maclarens-were-followers-of-the-murray-of-athol-the-ferguson-tartan-has-a-white-stripe-where-the-maclaren-has-yellow-chiefs-of-the-clan-are-the-fergussons-of-kilkerran-descended-from-fergus-of-dalriada-who-brought-the-stone-of-scone-to-scotland-see-products-available-copyright-blair-urquhart-comrie-2015,B/48 K16 G16 R4 G16 K2 W/4,K#101010 BLACK; B#2C2C80 BLUE; G#006818 GREEN; R#C80000 RED; W#E0E0E0 WHITE;,yes,160,60,Scottish Tartans Society,2,House of Tartan; Weddslist,2/2,yes,yes,House of Tartan,,,,none,,http://www.house-of-tartan.scotland.net/house/TartanViewjs.asp?colr=Def&tnam=337
143,Fily (Verneuil L'tang) (Personal),fily-verneuil-l-tang-personal,B/6 W12 K/120,K#101010 BLACK; W#FFFFFF WHITE; B#82CFFD AZURE BLUE;,yes,150,60,Name,2,Scottish Register of Tartans; Scottish Tartans Authority,1/2,no,no,Scottish Register of Tartans,"Fily, Sylvain Roger",10/09/2010,,weaver_note,"Yes. Intended to be worn by the descendants of Raoul Fily, born in Rouen in Normandie in 1885.",https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=10335
144,"Fletcher of Dunans Clan Tartan Tartan Number: 272. Earliest known date: 1906 The Fletchers of Dunans tartan is distinguished by a red stripe in place of the more usual black. Fletchers were arrow makers associated with the Stewarts and Campbells in Argyll and with the MacGregors in Perthshire. See products available Copyright © Blair Urquhart, Comrie, 2015",fletcher-of-dunans-clan-tartan-tartan-number-272-earliest-known-date-1906-the-fletchers-of-dunans-tartan-is-distinguished-by-a-red-stripe-in-place-of-the-more-usual-black-fletchers-were-arrow-makers-associated-with-the-stewarts-and-campbells-in-argyll-and-with-the-macgregors-in-perthshire-see-products-available-copyright-blair-urquhart-comrie-2015,B/12 K2 B12 K16 R2 G16 R/4,K#101010 BLACK; B#2C2C80 BLUE; G#006818 GREEN; R#C80000 RED;,yes,112,60,Scottish Tartans Society,2,House of Tartan; Weddslist,2/2,yes,yes,House of Tartan,,,,none,,http://www.house-of-tartan.scotland.net/house/TartanViewjs.asp?colr=Def&tnam=272
145,Fogarty (Tipperary),fogarty-tipperary,R/4 B60 G35 B4 DY4 B4 T12 B18 K3 W/2,R#CD0000 RED; B#4169E1 BLUE; G#458B00 GREEN; DY#EEB422 DARK YELLOW; T#734A12 BROWN; K#101010 BLACK; W#FFFFFF WHITE;,yes,286,60,Name,2,Scottish Register of Tartans; Scottish Tartans Authority,1/2,no,no,Scottish Register of Tartans,USA Kilts,27/02/2010,,weaver_note,"Yes. This tartan is available, with written permission from Brian Fogarty, to all Fogartys (descendants of O'Fogartaigh regardless of spelling), officials of the township of Thurles, Ireland and officials of County Tipperary, Ireland. Contact information: Brian M Fogarty, email: fogartyb@yahoo.com",https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=10180
146,"Forbes Ancient Clan Tartan Tartan Number: 212. Earliest known date: Logan 1831 Lord Lyon includes the word 'Ancient' in register entry. The Clan Forbes is said to originate from one Ochonochar, who slew a bear to gain possession of the Braes of Forbes in Aberdeenshire. The charter for the land was granted later in 1271. See products available Copyright © Blair Urquhart, Comrie, 2015",forbes-ancient-clan-tartan-tartan-number-212-earliest-known-date-logan-1831-lord-lyon-includes-the-word-ancient-in-register-entry-the-clan-forbes-is-said-to-originate-from-one-ochonochar-who-slew-a-bear-to-gain-possession-of-the-braes-of-forbes-in-aberdeenshire-the-charter-for-the-land-was-granted-later-in-1271-see-products-available-copyright-blair-urquhart-comrie-2015,B/2 K12 B12 K12 G12 K2 W/2,K#101010 BLACK; B#2C2C80 BLUE; G#006818 GREEN; W#E0E0E0 WHITE;,yes,104,60,Scottish Tartans Society,2,House of Tartan; Weddslist,2/2,yes,yes,House of Tartan,,,,none,,http://www.house-of-tartan.scotland.net/house/TartanViewjs.asp?colr=Def&tnam=212
147,"Fraser Hunting Dress Clan Tartan Tartan Number: 603. Earliest known date: pre 2003 In the Hunting Fraser, brown replaces the red of the Clan sett. The late Charles Ian Fraser of Reeling said, in his publication, ""Clan Fraser"", that this sett was designed by the Sobieski Stuart brothers at the request of Lord Lovat for use by the Inverness and Nairn militia. A letter to Lord Lovat from the War Office, c.1855, authorised the use of the Fraser tartan for the corps. The tartan is worn by the Boghall & Bathgate pipe bands. (Strathallan 1994) See products available Copyright © Blair Urquhart, Comrie, 2015",fraser-hunting-dress-clan-tartan-tartan-number-603-earliest-known-date-pre-2003-in-the-hunting-fraser-brown-replaces-the-red-of-the-clan-sett-the-late-charles-ian-fraser-of-reeling-said-in-his-publication-clan-fraser-that-this-sett-was-designed-by-the-sobieski-stuart-brothers-at-the-request-of-lord-lovat-for-use-by-the-inverness-and-nairn-militia-a-letter-to-lord-lovat-from-the-war-office-c-1855-authorised-the-use-of-the-fraser-tartan-for-the-corps-the-tartan-is-worn-by-the-boghall-bathgate-pipe-bands-strathallan-1994-see-products-available-copyright-blair-urquhart-comrie-2015,B/8 T48 G34 T6 W36 T6 W36 T6 G34 T48 R/8,B#2C2C80 BLUE; T#604000 BROWN; G#006818 GREEN; R#C80000 RED; W#E0E0E0 WHITE;,yes,524,60,Scottish Tartans Society,2,House of Tartan; Weddslist,1/2,yes,yes,House of Tartan,,,,none,,http://www.house-of-tartan.scotland.net/house/TartanViewjs.asp?colr=Def&tnam=603
148,"Fraser of Altyre Clan Tartan Tartan Number: 528. Earliest known date: (c.1850) Proportional count of silk sample from Messrs Andersons of Edinburgh (now Kinloch Anderson). MacGregor-Hastie was of the opinion that the sett could be dated to around 1850, based on the story of an 'old lady' (c.1938) who said that a kilt of this pattern had been in the family for generations. The MacGregor-Hastie collection is housed at the Scottish Tartans Museum, Stirling. (1994) See products available Copyright © Blair Urquhart, Comrie, 2015",fraser-of-altyre-clan-tartan-tartan-number-528-earliest-known-date-c-1850-proportional-count-of-silk-sample-from-messrs-andersons-of-edinburgh-now-kinloch-anderson-macgregor-hastie-was-of-the-opinion-that-the-sett-could-be-dated-to-around-1850-based-on-the-story-of-an-old-lady-c-1938-who-said-that-a-kilt-of-this-pattern-had-been-in-the-family-for-generations-the-macgregor-hastie-collection-is-housed-at-the-scottish-tartans-museum-stirling-1994-see-products-available-copyright-blair-urquhart-comrie-2015,B/4 R4 G80 R4 B4 R4 B9 R9 B80 R4 B4 R89 B4 R/9,B#2C2C80 BLUE; G#006818 GREEN; R#C80000 RED;,yes,603,60,Scottish Tartans Society,2,House of Tartan; Weddslist,2/2,yes,yes,House of Tartan,,,,none,,http://www.house-of-tartan.scotland.net/house/TartanViewjs.asp?colr=Def&tnam=528
149,"Fraser of Lovat Clan Tartan Tartan Number: 391. Earliest known date: 1893 'Old and Rare Scottish Tartans' (1893), contains a selection of forty five setts, woven in silk, of special interest and antiquity. The author was D.W. Stewart. Lord Lovat, 84 year old war veteran and chief of the Frasers of Lovat, died in March 1995. His grandson, Simon Fraser, became the 25th chief of the clan. See products available Copyright © Blair Urquhart, Comrie, 2015",fraser-of-lovat-clan-tartan-tartan-number-391-earliest-known-date-1893-old-and-rare-scottish-tartans-1893-contains-a-selection-of-forty-five-setts-woven-in-silk-of-special-interest-and-antiquity-the-author-was-d-w-stewart-lord-lovat-84-year-old-war-veteran-and-chief-of-the-frasers-of-lovat-died-in-march-1995-his-grandson-simon-fraser-became-the-25th-chief-of-the-clan-see-products-available-copyright-blair-urquhart-comrie-2015,B/2 R2 B24 G24 R32 W4 R32 G24 R2 B2 R2 B/32,B#2C2C80 BLUE; G#006818 GREEN; R#C80000 RED; W#E0E0E0 WHITE;,yes,330,60,Scottish Tartans Society,2,House of Tartan; Weddslist,2/2,yes,yes,House of Tartan,,,,none,,http://www.house-of-tartan.scotland.net/house/TartanViewjs.asp?colr=Def&tnam=391
150,Free (Wishaw),free-wishaw,B/8 K4 NB15 K16 G16 K4 G6 K4 G16 K16 W2 NB6 M/6,B#0000EE BLUE; K#101010 BLACK; NB#000080 NAVY BLUE; G#006400 GREEN; W#FFFFFF WHITE; M#8B1C62 MAGENTA;,yes,224,60,Name,2,Scottish Register of Tartans; Scottish Tartans Authority,1/2,no,no,Scottish Register of Tartans,"MacDonald, Ken",01/02/2010,,weaver_note,Yes. Available for wear by anyone of the name of Free.Must be woven by Houston Kiltmakers (www.kiltmakers.com).Woven by Ken MacDonald at shop@kiltmakers.com,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=10156
151,"Froben, Christian (Personal)",froben-christian-personal,K/4 W4 K16 Y16 DB48 G26 K6 DR/2,G#004C00 GREEN; DR#781C38 DARK RED; Y#DC9436 YELLOW; K#101010 BLACK; W#FCFCFC WHITE; DB#141E46 DARK BLUE;,yes,238,60,Name,2,Scottish Register of Tartans; Scottish Tartans Authority,1/2,no,no,Scottish Register of Tartans,"Froben, Dr Christian M G",05/05/2014,,weaver_note,Yes. Please contact the designer for permission to wear/use this tartan.,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=11053
152,Fuller of Hopewell (Personal),fuller-of-hopewell-personal,K/4 W4 K72 B80 W4 LR4 Y/4,LR#C80050 LIGHT RED; Y#EC8048 LIGHT ORANGE; B#2C2C80 BLUE; W#F8F8F8 WHITE; K#101010 BLACK;,yes,336,60,Name,2,Scottish Register of Tartans; Scottish Tartans Authority,2/2,no,no,Scottish Register of Tartans,"Fuller, Anthony & Sarah",01/09/2005,,weaver_note,Yes. Created as a personal family tartan for Anthony and Sarah Fuller.,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=1289
153,Gamblin Thompson (Personal),gamblin-thompson-personal,LB/8 WG52 R8 K24 B92 WW/4,B#2C2C80 BLUE; WW#FCFCFC WILSON WHITE; K#101010 BLACK; R#C80000 RED; WG#408060 WTHRD GREEN; LB#2888C4 LIGHT BLUE;,yes,364,60,Name,2,Scottish Register of Tartans; Scottish Tartans Authority,2/2,no,no,Scottish Register of Tartans,Viking Technology Ltd,15/02/2004,2995.0,weaver_note,Yes.,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=1309
