name,slug,threadcount,palette,colors_hex,symmetric,thread_total,verification,confirmed_by
Unnamed C18 / 19th - Antigonish (A),unnamed-c18-19th-antigonish-a,AK26 R12 AK4 R12 W2 H52 R4 AK52 H12 R52 H12 AK52 R4 H52 W2 R12 AK4 R12,W#E0E0E0 AK#1C1C1C H#5C6428 R#C80000,#1C1C1C|#C80000|#E0E0E0|#5C6428,no,378,C_dual_register_scrape,
Unnamed C18 / 19th - Antigonish (A) #2,unnamed-c18-19th-antigonish-a-2,AK26 R12 AK4 R12 W2 H52 R4 AK52 W2 R52 W2 AK12 R4 H4 R4 AK26 R4 H4 R4 AK12 W2 R52 W2 AK52 H52 W2 R12 AK4 R12,W#E0E0E0 AK#1C1C1C H#5C6428 R#C80000,#1C1C1C|#C80000|#E0E0E0|#5C6428,no,484,C_dual_register_scrape,
Unnamed C18th - Cant Counts,unnamed-c18th-cant-counts,W2 CLR10 R12 W2 R12 CLR10 W2 LB6 B20 LB6 W2 DG20 Y12 W2 LB4 W2 LB4 W2 Y12 DG20 W2 CLR10 R12 B20 LB6 W2 CLR12 R24 W2 R24 CLR12 W2 LB6 B20 R12 W2 DG20 Y12 W2 LB4 W2 LB4 W2 Y12 DG20 W2 LB6 B20 LB6 W2 CLR10 R12 W2 R12 CLR10 W2 LB6 B20 LB6 W2 DG20 Y12 W2 LB4 W2 LB4 W2 Y12 DG20 W2 R12 B20 LB6 W2 CLR12 R24 W2 R24 CLR12 W2 LB6 B20,B#2C2C80 CLR#E87878 DG#003820 LB#2888C4 R#C80000 W#E0E0E0 Y#E8C000,#E0E0E0|#E87878|#C80000|#2888C4|#2C2C80|#003820|#E8C000,no,748,C_dual_register_scrape,
Unnamed C18th - Cf 4445 #2,unnamed-c18th-cf-4445-2,DB104 LN2 DB6 BB8 LN2 BB8 DB6 LN2 G16 G10 OG10 LN2 DB8 BB6 LN2 OG8 LN2 BB6 DB7 LN2 OG10 G10 G16 LN2 DB6 BB8 LN2 BB8 DB6 LN2 DB26 LN2 DB10 XR6 LN2 XR6 DB10 LN2 DB26 LN2 DB6 BB8 LN2 BB8 DB6 LN2 G16 G10 OG10 LN2 DB7 BB6 LN2 OG8 LN2 BB6 DB8 LN2 OG10 G10 G16 LN2 DB6 BB8 LN2 BB8 DB6 LN2,XR#C80000 G#007800 DB#000048 OG#647C00 BB#0000E0 LN#C8C8C8,#000048|#C8C8C8|#0000E0|#007800|#647C00|#C80000,no,560,C_dual_register_scrape,
Unnamed C18th - Duke of Perth,unnamed-c18th-duke-of-perth,B60 R28 B4 R28 G40 W2 G4 W2 G40 R88 B8 R20 A2 R8 A2 R20 B8 R88 G40 W2 G4 W2 G40 R28 B4 R28,A#5C8CA8 B#2C2C80 G#006818 R#C80000 W#E0E0E0,#2C2C80|#C80000|#006818|#E0E0E0|#5C8CA8,no,600,C_dual_register_scrape,
Unnamed C18th - Hebridean,unnamed-c18th-hebridean,DP/88 DW2 DP4 RB6 DW2 RB6 DP4 DW2 RB16 LG8 DW2 DP8 RB4 DW2 LG8 DW2 RB4 DP8 DW2 LG8 G8 RB16 DW2 RB4 RB8 DW2 RB8 K4 RB2 DP44 DW2 K8 DR6 DW2 DP44 DW2 DP4 RB6 DW2 RB6 DP4 DW2 DR24 CR10 DW/2,RB#000064 G#007800 DR#880000 LG#3CC83C K#000000 DW#B0B0B0 DG#003014 DP#28003C CR#DC5078,#28003C|#B0B0B0|#000064|#3CC83C|#007800|#000000|#880000|#DC5078|#003014,yes,726,C_dual_register_scrape,
Unnamed C18th - Prince Charles Edward,unnamed-c18th-prince-charles-edward,R16 W4 T100 W4 B34 G30 Y10 W3 G16 P12 W4 B16 DT64 R26 W4 R26 DT64 B16 W4 P12 G16 W3 Y10 G30 B34 W4 T100 W4,B#2C2C80 T#604000 DT#441800 DP#440044 HG#285800 R#C80000 W#E0E0E0 Y#E8C000 P#780078 G#006818,#C80000|#E0E0E0|#604000|#2C2C80|#006818|#E8C000|#780078|#441800|#440044|#285800,no,666,C_dual_register_scrape,
Unnamed C18th - Prince Charles Edward #2,unnamed-c18th-prince-charles-edward-2,B80 R80 B88 R4 B4 R80 B4 R4 B4 R14 B4 R4 B4 R80 B4 R4 B88 R80,B#2C2C80 R#C80000,#2C2C80|#C80000,no,630,C_dual_register_scrape,
Unnamed C18th - Prince Charles Edward #4,unnamed-c18th-prince-charles-edward-4,R48 G12 Y16 K8 Y16 G48 Y8 R12 W4 R12 Y8 G48 Y16 K8 Y16 G12,K#101010 G#006818 R#C80000 W#E0E0E0 Y#E8C000,#C80000|#006818|#E8C000|#101010|#E0E0E0,no,292,C_dual_register_scrape,
Unnamed C18th - S.Uist,unnamed-c18th-suist,W1 HG6 DR48 HG4 DR4 DP36 DR4 HG4 DR2 YT2 HG2 DR40 DP4 DR4 HG6 DR4 DP34 DR3,LN#C8C8C8 DG#004028 DR#780014 DP#28003C YT#DCBC00 HG#285800 W#E0E0E0,#E0E0E0|#285800|#780014|#28003C|#DCBC00|#C8C8C8|#004028,no,208,C_dual_register_scrape,
Unnamed C19th,unnamed-c19th,NN/40 WW4 AP140 BDY4 KK26 WW20 DR10 KK4 DR10 KK4 DR10 WW20 KK26 BDY4 XT50 WW36 KK4 BDY/4,NN#646464 WW#C8C8C8 AP#4C1864 BDY#C89800 KK#000000 DR#880000 XT#3C2010,#646464|#C8C8C8|#4C1864|#C89800|#000000|#880000|#3C2010,yes,788,C_dual_register_scrape,
Unnamed Green (Teddy Bear),unnamed-green-teddy-bear,R/2 T6 G4 T6 R2 G48 R2 T6 G4 T6 R/2,R#DC0000 T#503C14 G#005020,#DC0000|#503C14|#005020,yes,172,B_one_independent_archive,weddslist
Urbino,urbino,G12 P8 G8 P8 G8 P80 K80 G88 K4 TK12 K4 G88 K80 P80 G8 P8 G8 P8,G#004C00 DP#4C1864 K#000000 TK#A0783C P#780078,#004C00|#780078|#000000|#A0783C|#4C1864,no,592,C_dual_register_scrape,
Urquhart,urquhart,K/4 G18 K12 B2 K2 B2 K2 B12 R/6,G#006818 K#101010 B#007800 R#C80000,#101010|#006818|#007800|#C80000,yes,110,C_dual_register_scrape,
Urquhart (Brydone),urquhart-brydone,G/2 K2 G16 K16 B16 R2 B16 K16 G2 K2 G2 K2 G6 W/2,G#005020 K#101010 B#2C4084 R#DC0000 W#E0E0E0,#005020|#101010|#2C4084|#DC0000|#E0E0E0,yes,200,A_two_plus_independent_archives,weddslist; house-of-tartan
Urquhart (Fashion),urquhart-fashion,R/6 DN6 K6 DN30 K12 N3 K3 N3 K3 N18 W2 N/9,K#101010 DN#5C5C5C R#C80000 N#888888 W#E0E0E0,#C80000|#5C5C5C|#101010|#888888|#E0E0E0,yes,187,C_dual_register_scrape,
Urquhart (Logan),urquhart-logan,G/2 K2 G16 K16 B16 DR2 B16 K16 G2 K2 G2 K2 G/16,K#101010 DR#880000 G#006818 B#2C2C80,#006818|#101010|#2C2C80|#880000,yes,202,A_two_plus_independent_archives,weddslist; house-of-tartan
Urquhart (White Line),urquhart-white-line,B/8 W4 B48 K6 B6 K6 B16 K48 G96 K6 G6 R/4,W#E0E0E0 G#006818 K#101010 B#007800 R#C80000,#007800|#E0E0E0|#101010|#006818|#C80000,yes,496,B_one_independent_archive,weddslist
Utah,utah,W/6 RB18 DR18 RB12 DR18 DG54 DR18 W/12,DR#880000 G#006818 LN#C0C0C0 RB#1C0070 HG#285800 DG#003820 WW#FCFCFC W#E0E0E0,#E0E0E0|#1C0070|#880000|#003820|#006818|#C0C0C0|#285800|#FCFCFC,yes,294,B_one_independent_archive,tartans-authority
Utah Valley University,utah-valley-university,K/6 W14 G6 K32 G34 W2 G16 K/2,K#101010 G#005020 W#FCFCFC,#101010|#FCFCFC|#005020,yes,216,C_dual_register_scrape,
"Valdres, Kvam & Vang",valdres-kvam-and-vang,LC/4 R2 LC2 R22 LC4 DG32 R2 LC4 R/8,DG#003820 LC#C80050 R#C80000,#C80050|#C80000|#003820,yes,148,C_dual_register_scrape,
"Valdres, Kvam & Vang #2",valdres-kvam-and-vang-2,K/8 W2 R8 K4 G4 R6 K4 G40 R4 K4 R/4,K#101010 DG#003820 R#C80000 W#E0E0E0 G#006818,#101010|#E0E0E0|#C80000|#006818|#003820,yes,164,C_dual_register_scrape,
"Valdres, Kvam & Vang #3",valdres-kvam-and-vang-3,K/8 W2 R8 K4 G4 R6 G4 K40 R4 K/4,K#101010 DG#003820 R#C80000 W#E0E0E0 G#006818,#101010|#E0E0E0|#C80000|#006818|#003820,yes,156,C_dual_register_scrape,
Valencia,valencia,WW/2 DG36 R4 WW6 K2 A7 K2 WW2 R4 DG18 B16 WW2 R8 WW2 K22 R48 B8 K8 G64 DG16 R8 WW2 Y4 A7 WW6 Y36 DG12 K8 DG12 Y4 WW6 A7 WW6 Y4 K8 DG48 K8 DG8 B16 WW/4,DG#003820 A#5C8CA8 WW#FCFCFC K#101010 Y#E8C000 R#C80000 G#006818 B#2C2C80,#FCFCFC|#003820|#C80000|#101010|#5C8CA8|#2C2C80|#006818|#E8C000,yes,976,B_one_independent_archive,tartans-authority
Valley Forge Pipe Band,valley-forge-pipe-band,R/4 RB10 K10 G10 DW4 G10 K10 DW4 K4 DW8 K4 DW/4,DW#B0B0B0 K#000000 G#004C00 RB#00008C DR#880000 R#C80000 L#00C8C8,#C80000|#00008C|#000000|#004C00|#B0B0B0|#880000|#00C8C8,yes,156,B_one_independent_archive,tartans-authority
Valley of the Green,valley-of-the-green,A/4 LG6 WG16 A16 WG16 G52 A/8,A#5C8CA8 DG#003820 G#006818 LG#289C18 WG#408060,#5C8CA8|#289C18|#408060|#006818|#003820,yes,224,B_one_independent_archive,weddslist
Valley of the Green #2,valley-of-the-green-2,Y/6 G16 R4 G4 R12 G28 K28 R4 W28 R12 W4 R4 W/18,Y#E8C000 G#006818 R#C80000 W#E0E0E0 K#101010,#E8C000|#006818|#C80000|#101010|#E0E0E0,yes,312,C_dual_register_scrape,
Van Ingelgem Dress (Personal),van-ingelgem-dress-personal,W/4 K4 B24 NB18 B24 W4 B24 NB6 B6 NB6 B6 NB34 K6 NB6 K6 NB6 K36 Y/6,Y#DAA520 K#101010 W#FCFCFC NB#003C64 B#0000CD,#FCFCFC|#101010|#0000CD|#003C64|#DAA520,yes,442,C_dual_register_scrape,
Van Ingelgem Hunting (Personal),van-ingelgem-hunting-personal,B/4 G4 T24 DT18 T24 B4 T24 DT6 T6 DT6 T6 DT36 G6 DT6 G6 DT6 G36 K/6,K#101010 G#69674D DT#21412D T#716044 B#444847,#444847|#69674D|#716044|#21412D|#101010,yes,446,C_dual_register_scrape,
Vance,vance,K/12 LB8 LG52 W8 LB96 DR/12,LB#2888C4 G#006818 DR#880000 K#101010 LN#C0C0C0 LG#289C18 W#E0E0E0,#101010|#2888C4|#289C18|#E0E0E0|#880000|#006818|#C0C0C0,yes,352,B_one_independent_archive,tartans-authority
Vancouver Centennial,vancouver-centennial,G/8 Y4 G48 W24 B52 R/2,R#FF0000 B#0000CD W#FCFCFC G#008B00 Y#FFE600,#008B00|#FFE600|#FCFCFC|#0000CD|#FF0000,yes,266,B_one_independent_archive,weddslist
Varenne,varenne,DR/60 DN8 DR4 KK16 DR6 WW4 DR6 KK16 DR4 DN8 LT/64,DR#880000 DN#3C3C3C KK#000000 WW#C8C8C8 LT#A0783C,#880000|#3C3C3C|#000000|#C8C8C8|#A0783C,yes,268,B_one_independent_archive,tartans-authority
Veere,veere,B/12 K6 A6 B18 K44 Y6 G38 B18 A6 K22 W/14,Y#C88C00 K#000000 W#C8C8C8 B#2C2C80 G#006818 A#82CFFD,#2C2C80|#000000|#82CFFD|#C88C00|#006818|#C8C8C8,yes,354,C_dual_register_scrape,
Venters (Edinburgh),venters-edinburgh,FB/30 NB110 W2 P10 R4 Y/2,NB#05132F FB#3F4B60 P#3D2E60 Y#D3CC20 R#A80020 W#E5E0D2,#3F4B60|#05132F|#E5E0D2|#3D2E60|#A80020|#D3CC20,yes,284,B_one_independent_archive,tartans-authority
Verble (Personal),verble-personal,G/48 Y12 K12 LB48 G12 Y12 K/12,LB#2888C4 FSB#2474E8 K#101010 G#006818 Y#E8C000,#006818|#E8C000|#101010|#2888C4|#2474E8,yes,252,B_one_independent_archive,tartans-authority
Verdon,verdon,LG/8 K4 HG24 AK16 K12 HG12 LG4 HG12 K12 AK/144,HG#285800 AK#1C1C1C K#101010 DG#003820 G#006818 LG#289C18,#289C18|#101010|#285800|#1C1C1C|#003820|#006818,yes,344,B_one_independent_archive,tartans-authority
Vermont,vermont,G/4 DW4 G24 DB20 DG24 R4 DG4 MY/4,G#146400 DB#000050 DR#880000 MY#C89800 DW#C8C8C8 DG#004C00 R#C80000,#146400|#C8C8C8|#000050|#004C00|#C80000|#C89800|#880000,yes,168,C_dual_register_scrape,
Vermont Dress,vermont-dress,G/4 W4 G24 DB20 W24 R4 G4 MY/4,DB#202060 DR#880000 G#006818 LN#C0C0C0 MY#D09800 R#C80000 W#E0E0E0,#006818|#E0E0E0|#202060|#C80000|#D09800|#880000|#C0C0C0,yes,168,B_one_independent_archive,tartans-authority
Veron,veron,W/4 SR4 DG4 W22 DG4 Y10 DG4 W10 DG62 W10 SR4 DG4 W/24,Y#E8C000 DG#003820 W#E0E0E0 OT#603800 SR#A03400,#E0E0E0|#A03400|#003820|#E8C000|#603800,yes,304,B_one_independent_archive,tartans-authority
Victoria (Patons),victoria-patons,R/6 K2 R12 G10 K3 W2 K3 Y2 K8 W4 B6 W12 R/4,R#DC0000 K#101010 G#005020 W#E0E0E0 Y#E8C000 B#2C4084,#DC0000|#101010|#005020|#E0E0E0|#E8C000|#2C4084,yes,138,B_one_independent_archive,weddslist
Victoria (Wilsons),victoria-wilsons,R/8 WW32 A10 K10 Y4 K4 WW4 K4 G10 R10 K4 R4 WW/4,A#5C8CA8 K#101010 G#006818 R#C80000 WW#FCFCFC Y#E8C000,#C80000|#FCFCFC|#5C8CA8|#101010|#E8C000|#006818,yes,204,A_two_plus_independent_archives,weddslist; tartans-authority
Victoria (Yellow),victoria-yellow,R/12 Y120 B24 Y12 K24 Y4 K4 WW4 K4 G36 R36 K6 R8 WW/4,K#101010 B#2C2C80 G#006818 R#C80000 WW#FCFCFC Y#E8C000,#C80000|#E8C000|#2C2C80|#101010|#FCFCFC|#006818,yes,580,B_one_independent_archive,weddslist
Victoria Highland Dress,victoria-highland-dress,R/10 W46 RB10 W10 K14 Y6 K6 W4 K6 G32 R16 G6 R12 W/6,R#DC0000 W#E0E0E0 RB#000064 K#101010 Y#E8C000 G#005020,#DC0000|#E0E0E0|#000064|#101010|#E8C000|#005020,yes,352,C_dual_register_scrape,
Victoria Highland Dress #2,victoria-highland-dress-2,R10 WW46 RB10 WW10 K14 Y6 K6 WW4 K6 G32 R16 G6 R12 WW6 R12 G6 R16 G32 K6 WW4 K6 G6 K14 WW10 RB10 WW46 R8 G2 WW38 RB8 WW8 RB2 K10 Y6 K4 RB2 WW8 G30 R12 G6 R10 G2 WW6 G2 R10 G6 R12 G30 WW8 RB2 K4 Y6 K10 RB2 WW8 RB8 WW38 G2 WW38 RB8 WW8 RB2 K10 Y6 K4 RB2 WW8 G30 R12 G6 R10 G2 WW6 G2 R10 G6 R12 G30 WW8 RB2 K4 Y6,K#101010 G#006818 R#C80000 RB#1C0070 WW#FCFCFC Y#E8C000,#C80000|#FCFCFC|#1C0070|#101010|#E8C000|#006818,no,894,C_dual_register_scrape,
Victoria State (Australia),victoria-state-australia,G/48 W4 K8 W4 K16 CLR4 B102 K4 A16 W/2,K#101010 B#485074 R#C80000 W#E0E0E0 CLR#E87878 A#5C8CA8 G#006818,#006818|#E0E0E0|#101010|#E87878|#485074|#5C8CA8|#C80000,yes,366,C_dual_register_scrape,
"Victoria, City of (British Columbia)",victoria-city-of-british-columbia,ZR/20 LG8 CLR8 K8 MY28 ZR/8,K#101010 DR#880000 R#C80000 LG#289C18 CLR#E87878 MY#D09800 ZR#A00000,#A00000|#289C18|#E87878|#101010|#D09800|#880000|#C80000,yes,132,B_one_independent_archive,tartans-authority
"Victoria, County of (Texas, USA)",victoria-county-of-texas-usa,N/36 DW3 G3 DW3 R20 N3 A24 G32 MY3 R3 N3 A6 N6 R3 MY3 DW3 G6 DW3 MY3 A3 R/6,DR#880000 FSB#2474E8 G#006818 N#888888 DW#C0C0C0 MY#D09800 R#C80000 ALB#48A4C0 A#5C8CA8,#888888|#C0C0C0|#006818|#C80000|#5C8CA8|#D09800|#880000|#2474E8|#48A4C0,yes,308,B_one_independent_archive,tartans-authority
Vilaro-Thomas (Personal),vilaro-thomas-personal,SB/4 W2 SB30 DB12 SB14 DB6 R2 DB6 SB6 DB52 Y/4,R#C80000 DN#5C5C5C N#888888 K#101010 W#E0E0E0 SB#A8ACE8 DB#1C1C50 Y#E8C000,#A8ACE8|#E0E0E0|#1C1C50|#C80000|#E8C000|#5C5C5C|#888888|#101010,yes,268,B_one_independent_archive,tartans-authority
Ville de Beauport,ville-de-beauport,G/32 K2 B24 K2 N24 K2 R20 Y14 K2 Y14 K4 N2 K/8,G#006818 B#2C2C80 R#C80000 Y#E8C000 N#888888 K#101010,#006818|#101010|#2C2C80|#888888|#C80000|#E8C000,yes,260,A_two_plus_independent_archives,weddslist; tartans-authority
Vincent,vincent,DR/6 FSB24 DT24 FSB6 DT24 RB24 DT6 RB24 DR24 RB6 DR24 FSB24 DR/6,DR#880000 FSB#3474FC DT#3C2010 RB#00008C,#880000|#3474FC|#3C2010|#00008C,yes,432,B_one_independent_archive,tartans-authority
Vipont (White line),vipont-white-line,XR/8 G28 K6 MP6 G24 B72 CW/8,CW#FCFCFC B#0C585C PB#9058D8 K#101010 G#006818 XR#C80000 MP#9C68A4,#C80000|#006818|#101010|#9C68A4|#0C585C|#FCFCFC|#9058D8,yes,288,A_two_plus_independent_archives,weddslist; tartans-authority
Vipont (Yellow line),vipont-yellow-line,XR/6 G28 K4 PB4 G28 K72 DY/6,DY#E8C000 PB#9058D8 K#101010 G#006818 XR#C80000,#C80000|#006818|#101010|#9058D8|#E8C000,yes,284,A_two_plus_independent_archives,weddslist; tartans-authority
Virginia (USA),virginia-usa,G16 LG1 G1 LG1 G1 LG1 G1 LG1 G1 LG8 MP16 P32 MP16 LG8 G1 LG1 G1 LG1 G1 LG1 G1 LG1 G16 BL1 G1 BL1 G1 BL1 G1 BL1 G1 BL1 G1 BL1 G1 BL1 G1 BL1 G1 BL16 SB32 BL16 G1 BL1 G1 BL1 G1 BL1 G1 BL1 G1 BL1 G1 BL1 G1 BL1 G1 BL1 G1 BL1 G1 BL1 G1 BL1 G1 BL1 G1 BL1 G1 BL1 G1 BL16 SB32 BL16 G1 BL1 G1 BL1 G1 BL1,AB#1870A4 AL#48A4C0 BL#1474B4 SB#A8ACE8 P#780078 MP#9C68A4 LG#289C18 G#006818,#006818|#289C18|#9C68A4|#780078|#1474B4|#A8ACE8|#1870A4|#48A4C0,no,307,C_dual_register_scrape,
Virginia International Tattoo Hixon,virginia-international-tattoo-hixon,LN/3 LB19 R8 B6 W6 B69 DB10 LN/8,LN#C8C8C8 DB#000048 B#003C64 W#FCFCFC R#FF0000 LB#1870A4,#C8C8C8|#1870A4|#FF0000|#003C64|#FCFCFC|#000048,yes,247,B_one_independent_archive,tartans-authority
Visit Scotland,visit-scotland,B/102 BL8 B14 LP4 B4 WG4 B4 DBG20 B26 W/4,BL#1474B4 LP#B468AC DBG#005448 B#2C2C80 DB#202060 W#E0E0E0 WG#408060,#2C2C80|#1474B4|#B468AC|#408060|#005448|#E0E0E0|#202060,yes,274,C_dual_register_scrape,
Volkswagen Orange Trim,volkswagen-orange-trim,LG6 O6 K20 O52 K6 O6,O#D87C00 K#101010 LG#289C18,#289C18|#D87C00|#101010,no,96,C_dual_register_scrape,
Vosko,vosko,RB/32 K16 MY8 K12 DR8 K12 MY8 K16 G/32,RB#1C0070 G#006818 DR#880000 MY#D09800 K#101010 LN#C0C0C0 SB#A8ACE8 PH#6C0070,#1C0070|#101010|#D09800|#880000|#006818|#C0C0C0|#A8ACE8|#6C0070,yes,224,B_one_independent_archive,tartans-authority
Wacker,wacker,B12 K6 B6 NB26 G26 K2 G26 NB26 W2 B6 K6 B6 W2 NB26 G26 K2 G26 NB26 B6 K6,W#E0E0E0 G#006818 NB#003C64 K#101010 B#2C2C80,#2C2C80|#101010|#003C64|#006818|#E0E0E0,no,270,C_dual_register_scrape,
"Waddell (Fife), Greg",waddell-fife-greg,DR/6 B4 DR48 B16 DG4 B4 DG4 B4 DG20 DR6 W/4,DG#008B00 DR#FF0000 B#000080 W#FCFCFC,#FF0000|#000080|#008B00|#FCFCFC,yes,230,C_dual_register_scrape,
Wagga Wagga,wagga-wagga,AG16 K6 AG16 LG32 K2 T7 Y2 T7 Y2 T7 BL13 T7 Y2 T7 Y2 T7 K2 LG32 AG16 K6,BL#1474B4 Y#E8C000 T#604000 LG#289C18 K#101010 AG#00643C,#00643C|#101010|#289C18|#604000|#E8C000|#1474B4,no,191,C_dual_register_scrape,
Waggrall,waggrall,AS/8 WW2 R22 AS4 WW4 DP22 AA8 WW4 AA8 DP22 WW4 OG8 YT8 WW2 DP10 WW2 YT8 OG8 WW4 DG20 OG8 WW4 OG8 DG20 WW4 AA4 DP12 WW2 DP12 AA4 WW4 AS4 R22 WW2 AS8 WW2 R22 AS4 WW2 AA4 DP12 WW2 DP12 AA4 WW4 DG12 OG4 YT4 WW2 YT4 OG4 DG12 WW4 AS4 R22 WW2 AS8 WW2 R22 AS4 WW4 DG12 OG4 YT4 WW2 YT4 OG4 DG12 WW4 AA4 DP12 WW2 DP12 AA4 WW2 AS4 R22 WW2 AS8 WW2 R/22,AA#789484 AS#CC4438 DG#003820 DP#440044 LN#C0C0C0 OG#5C6428 R#C80000 YT#D8B000 WW#FCFCFC,#CC4438|#FCFCFC|#C80000|#440044|#789484|#5C6428|#D8B000|#003820|#C0C0C0,yes,1210,C_dual_register_scrape,
Wagland,wagland,R6 B12 Y4 B30 G24 HG78 W6 HG78 G24 B30 Y4 B12,B#2C2C80 DG#003820 HG#285800 R#C80000 W#E0E0E0 Y#E8C000 G#006818,#C80000|#2C2C80|#E8C000|#006818|#285800|#E0E0E0|#003820,no,308,C_dual_register_scrape,
Waipu,waipu,W2 G16 B32 K10 Y4 P2 Y4 K10 B14 R4 B14 G32 B14 R4 B14 K10 Y4 P2 Y4 K10 B32 G16,P#780078 Y#E8C000 K#101010 B#2C2C80 G#006818 R#C80000 W#E0E0E0,#E0E0E0|#006818|#2C2C80|#101010|#E8C000|#780078|#C80000,no,254,C_dual_register_scrape,
Walk the Walk,walk-the-walk,CLR/30 W10 CLR6 W6 CLR6 W6 CLR30 W/120,CLR#EC9D9D W#E0E0E0,#EC9D9D|#E0E0E0,yes,278,B_one_independent_archive,tartans-authority
Walker James,walker-james,G8 R16 K24 A4 G28 K8 G28 A4 K24 R16,A#5C8CA8 K#101010 G#006818 R#C80000,#006818|#C80000|#101010|#5C8CA8,no,160,C_dual_register_scrape,
"Walker, Michael (Personal)",walker-michael-personal,LB28 B12 Y4 B12 LB28 B28 WW4 DO6 WW4 LB28 B28 LB28 B28 LB28 WW4 DO6 WW4 B28 LB28 B12 Y4 B12,WW#FCFCFC DO#B84C00 Y#E8C000 B#2C2C80 LB#2888C4,#2888C4|#2C2C80|#E8C000|#FCFCFC|#B84C00,no,364,C_dual_register_scrape,
Wallace,wallace,K/6 R48 K48 Y/6,K#101010 R#C80000 Y#E8C000,#101010|#C80000|#E8C000,yes,204,B_one_independent_archive,house-of-tartan
Wallace Blue,wallace-blue,LB4 RB58 LB24 G58 WW4 G58 LB24 RB58,G#006818 LN#C0C0C0 RB#1C0070 SB#A8ACE8 LB#2888C4 WW#FCFCFC,#2888C4|#1C0070|#006818|#FCFCFC|#C0C0C0|#A8ACE8,no,288,C_dual_register_scrape,
Wallace Dress,wallace-dress,K28 WW24 K4 WW24 K4 WW24,K#101010 WW#FCFCFC,#101010|#FCFCFC,no,108,C_dual_register_scrape,
Wallace Hunting,wallace-hunting,K4 G32 K32 YT4 K32 G32,K#000000 DG#004028 YT#DCBC00 LG#289C18 G#006818,#000000|#006818|#DCBC00|#004028|#289C18,no,136,C_dual_register_scrape,
"Wallenberg, Nicolas (Personal)",wallenberg-nicolas-personal,B8 G4 DP24 G8 R2 G56 B6 W6 R6 G96 R2 G8 DP24 G4 B8 Y4,G#285800 R#FF0000 DP#780078 B#0000CD W#FCFCFC Y#FFE600,#0000CD|#285800|#780078|#FF0000|#FCFCFC|#FFE600,no,266,C_dual_register_scrape,
Walters (Personal),walters-personal,G8 PH8 G80 G8 G8 LG4 G8 G8 G80 PH8,G#006818 PH#6C0070 LG#289C18,#006818|#6C0070|#289C18,no,220,C_dual_register_scrape,
Wanstall,wanstall,DR/24 DG8 DR16 B6 DG6 B6 DG16 B24 DR76 DY/4,DR#680028 B#14283C DY#BC8C00 DG#003820,#680028|#003820|#14283C|#BC8C00,yes,344,B_one_independent_archive,tartans-authority
Warden,warden,W/16 R4 W20 B4 W12 DB20 Y4 DB8 W4 DB8 N32 R64 B/8,W#E0E0E0 R#C80000 B#2C2C80 DB#1C1C50 Y#E8C000 N#888888,#E0E0E0|#C80000|#2C2C80|#1C1C50|#E8C000|#888888,yes,384,B_one_independent_archive,tartans-authority
Wardlaw,wardlaw,R/6 B36 K6 G24 R4 B4 P4 K6 P60 K/8,B#2C2C80 G#006818 P#780078 R#C80000 K#101010,#C80000|#2C2C80|#101010|#006818|#780078,yes,302,A_two_plus_independent_archives,house-of-tartan; tartans-authority
Warren Wilson College,warren-wilson-college,G40 LN12 RB40 Y6 RB96 DR12 RB8 DR12 RB8 DR12 RB96 Y6 RB40 LN12,DN#5C5C5C DR#880000 G#006818 MY#D09800 RB#1C0070 Y#E8C000 N#888888 LN#A0A0A0,#006818|#A0A0A0|#1C0070|#E8C000|#880000|#5C5C5C|#D09800|#888888,no,400,C_dual_register_scrape,
Wartley Hunting,wartley-hunting,K20 RB4 RB28 K4 RB8 K4 RB28 RB4 K20 G4 G24 G4 G4 K6 G4 G4 G24 G4 K20 RB4 RB28 K4 RB8 K4 RB28 RB4 K20 G4 G24 G4 G4 K6 G4 G4 G24 G4,K#000000 RB#00008C G#007800,#000000|#00008C|#007800,no,396,C_dual_register_scrape,
Warwick,warwick,N/16 DP4 K14 N4 K4 N4 K4 DN16 N12 K4 N6 N/4,N#8C8C8C DP#4C1864 K#000000 DN#646464,#8C8C8C|#4C1864|#000000|#646464,yes,164,B_one_independent_archive,tartans-authority
Washington State,washington-state,WW/6 DR6 RB32 G64 A6 K6 MY/4,LN#C8C8C8 DR#880000 RB#000064 DG#003014 B#00248C K#000000 MY#C89800 G#006818 LSB#98C8E8 SB#A8ACE8 A#5C8CA8 WW#FCFCFC,#FCFCFC|#880000|#000064|#006818|#5C8CA8|#000000|#C89800|#C8C8C8|#003014|#00248C|#98C8E8|#A8ACE8,yes,238,B_one_independent_archive,tartans-authority
Washington Stockmens,washington-stockmens,B16 N12 B16 N76 K8 N12 K8 N48 B16 N12 B16 N12 K4 N8 DY4 N8 DY4 N8 K4 N12 K4 N8 DY4 N8 DY4 N8 K4 N12 B16 N12 B16 N48 K8 N12 K8 N76 B16 N12,DY#E8C000 K#101010 N#888888 B#2C2C80,#2C2C80|#888888|#101010|#E8C000,no,580,C_dual_register_scrape,
Wasko (Personal),wasko-personal,DR/6 G24 DR6 G24 DR60 W4 R/16,W#E0E0E0 R#C80000 G#006818 DR#A00048,#A00048|#006818|#E0E0E0|#C80000,yes,258,B_one_independent_archive,tartans-authority
