name,slug,threadcount,palette,symmetric,thread_total,sources_verifying,verified_by,colour_agreement,primary_source,dissenting_sources,origin_url,stwr_ref,sta_ref,designer,tartan_date,register_category,restrictions,seo_search_volume
Centennial-King George Lodge No.171,centennial-king-george-lodge-no-171,R/4 W14 B60 G72 Y/4,R#FF0000 RED; W#FFFFFF WHITE; B#1870A4 BLUE; G#004028 GREEN; Y#FFE600 YELLOW;,yes,300,2,Scottish Register of Tartans; Scottish Tartans Authority,1/2,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=10846,,,"Ward, Earl K",20/07/1958,Commemorative,"Yes. Intended for the exclusive use of the Masonic Lodge, Centennial-King George Lodge No. 171, within the Grand Lodge of British Columbia and Yukon.Prepared for weaving by Fraser & Kirkbright Weaving Co Ltd.",
Center,center,K/100 B4 K26 W2 K26 B10 G30 R/4,K#101010 BLACK; G#005020 MOD GREEN; R#DC0000 RED; W#E0E0E0 WHITE; B#2C4084 BLUE;,yes,300,2,Scottish Register of Tartans; Scottish Tartans Authority,1/2,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=5898,3114,7355,Robin Birch and W Center,17/04/2005,Name,,
Centrica Energy,centrica-energy,LG/8 DB24 P10 DB22 LB4 DB53 O6 DB79 W/12,DB#00008B DARK BLUE; P#F6A4D5 PINK; LB#6CA6CD LIGHT BLUE; O#EE9A00 ORANGE; W#FFFFFF WHITE; LG#7CCD7C LIGHT GREEN;,yes,416,2,Scottish Register of Tartans; Scottish Tartans Authority,1/2,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=10196,,,Kinloch Anderson,19/04/2010,Corporate,,
Ceredigion (Personal),ceredigion-personal,R/8 DN96 WG8 DN8 WG/40,WG#C0C4A0 WTHRD GREEN; R#B44440 RED; DN#5C5C5C DARK GREY;,yes,272,2,Scottish Register of Tartans; Scottish Tartans Authority,2/2,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=611,,7078,"Leighton Bt., Sir Michael",01/01/1986,Name,,
Cetoloni (Personal),cetoloni-personal,B4 K24 Y4 K24 R48 B4,K#101010 BLACK; Y#E8C000 YELLOW; R#C80000 BASIC RED; B#2C2C80 BLUE;,no,108,2,Scottish Register of Tartans; Scottish Tartans Authority,1/2,Scottish Register of Tartans,Weddslist,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=612,2049,2049,"Turnbull, Jayne M.",01/01/2002,Name,,
Chafee of Glenmary (Personal),chafee-of-glenmary-personal,KK/4 KK4 KK32 KK30 YZ4 DG32 KK4 DG32 WW4 KK34 BB8 ARR12 KK6 YZ/4,BB#00008C BALMORAL; KK#000000 BLACK; YZ#9C9C00 YZ; DG#004C00 DARK GRN; WW#C8C8C8 WHITE; BB#000088 BALMORAL; ARR#C40000 SCARLET;,yes,412,2,Scottish Register of Tartans; Scottish Tartans Authority,1/2,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=613,,4488,,01/01/2002,Name,,
Chakraa,chakraa,K/14 LB76 G14 K4 G14 K4 G14 LT42 K6 G8 K/6,K#101010 BLACK; G#006818 GREEN; LB#2888C4 LIGHT BLUE; LT#A08858 LIGHT BROWN;,yes,384,2,Scottish Register of Tartans; Scottish Tartans Authority,2/2,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=5242,,3862,,,Fashion,,
Chalet,chalet,G16 R64 K20 R200 G16 CW4,G#007800 GREEN; K#000000 BLACK; CW#FCFCFC BRIGHT WHITE; R#C80000 RED;,no,320,2,Scottish Register of Tartans; Scottish Tartans Authority,2/2,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=614,,4489,Highland Queen,01/01/1972,Fashion,,
Chapman (Personal),chapman-personal,K/72 HG4 K4 HG4 K36 MP36 K6 WW6 K6 MP36 K36 HG4 K4 HG4 K36 MP36 K6 R/6,WW#FCFCFC WILSON WHITE; MP#9C68A4 MAUVE; HG#285800 HUNTING GREEN; K#101010 BLACK; R#C80000 RED;,yes,606,2,Scottish Register of Tartans; Scottish Tartans Authority,2/2,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=615,,5924,,01/01/2003,Clan; Family,,
Charles-Carberry (Personal),charles-carberry-personal,G/42 B20 K52 LY20 R/2,G#003C14 GREEN; K#1C1714 BLACK; LY#F0E0C8 LIGHT YELLOW; B#5F749C BLUE; R#C8002C RED;,yes,228,2,Scottish Register of Tartans; Scottish Tartans Authority,1/2,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=10960,,,"Sampson, Scott",08/11/2013,Name,Yes. Intended solely for the use of Scott and Victoria Charles-Carberry and their immediate family.,
Charleston Police Department,charleston-police-department,K/6 DB71 DP50 LN18 DP6 GO10 DP/22,K#101010 BLACK; AW#E8CCB8 ANC WHITE; GO#BC8C00 DARK GOLD; DB#202060 DARK BLUE; LN#A0A0A0 LIGHT GRAY; DP#440044 DARK PURPLE;,yes,338,2,Scottish Register of Tartans; Scottish Tartans Authority,2/2,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=616,,6153,"Warren, Marjorie",01/03/2004,Corporate,,
Chateau,chateau,DR/8 KK4 DGG24 ZR16 KK12 DGG12 DR4 DGG12 KK12 ZR/144,DR#488CC0 DARK RED; KK#000000 BLACK; DGG#484800 REPR GREEN; ZR#306084 RUST RED;,yes,344,2,Scottish Register of Tartans; Scottish Tartans Authority,2/2,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=619,,4490,Reis of Newhaven.,01/01/1970,Fashion,,
Chattahoochee River,chattahoochee-river,WW/6 DR6 K6 DR20 AB14 B16 G8 B6 G6 B6 G26 MY/6,K#101010 BLACK; DR#880000 DARK RED; G#006818 GREEN; MY#D09800 M YELLOW; WW#F8F8F8 WILSON WHITE; B#2C2C80 BLUE; AB#1870A4 ANC BLUE;,yes,240,2,Scottish Register of Tartans; Scottish Tartans Authority,2/2,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=620,2203,2203,"Robertson, Leah",01/01/1994,District,,
"Cheape Clan Tartan Tartan Number: 210. Earliest known date: c.1906 The specimen in the Society's collection was presented by Mrs Dororthy Gray-Cheape of Forfar who was of the opinion that the T:roran (sic) branch of the family from the Glenfarg area, wore the tartan. See products available Copyright © Blair Urquhart, Comrie, 2015",cheape-clan-tartan-tartan-number-210-earliest-known-date-c-1906-the-specimen-in-the-society-s-collection-was-presented-by-mrs-dororthy-gray-cheape-of-forfar-who-was-of-the-opinion-that-the-t-roran-sic-branch-of-the-family-from-the-glenfarg-area-wore-the-tartan-see-products-available-copyright-blair-urquhart-comrie-2015,B/12 K2 B2 K2 B2 K12 G12 A4 G12 K12 B12 K2 B/4,A#5C8CA8 AZURE; K#101010 BLACK; B#2C2C80 BLUE; G#006818 GREEN;,yes,164,2,House of Tartan; Weddslist,2/2,House of Tartan,,http://www.house-of-tartan.scotland.net/house/TartanViewjs.asp?colr=Def&tnam=210,,,,,,,
Chelsea,chelsea,KK/16 ZR120 BDY12 ZR12 KK24 BG144 BDY4 BG8 R8 BG8 LG/8,KK#000000 BLACK; ZR#740010 RUST RED; BDY#C89800 DARKER YELLOW; BG#0C5454 BLUEGREEN; LG#688C28 LIGHT GREEN; R#C80000 RED;,yes,704,2,Scottish Register of Tartans; Scottish Tartans Authority,2/2,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=626,,4499,West Coast Woolen Mill,01/01/2002,Fashion,,
Cherokee,cherokee,WG/8 A4 WG18 K8 WG4 R12 RB24 WW/4,K#101010 BLACK; DG#003820 DARK GREEN; RB#1C0070 ROYAL BLUE; R#C80000 RED; WW#F8F8F8 WILSON WHITE; A#5C8CA8 AZURE; WG#408060 WTHRD GREEN;,yes,152,2,Scottish Register of Tartans; Scottish Tartans Authority,2/2,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=627,,4502,"'Smith Jnr, Dr Philip D",01/01/1996,Corporate,,
Cherry Valley New York,cherry-valley-new-york,LN/4 R4 LN30 K32 FG4 LB4 FG4 LB4 FG20 R4 CAG20 LB4 CAG4 LB4 CAG4 K32 LN4 R4 LN4 R4 LN/32,LB#3474FC LIGHT BLUE; FG#146400 FOREST GREEN; R#8C0000 RED; K#000000 BLACK; LN#8C8C8C LIGHT GREY; CAG#283C00 MUTE GRN ALT;,yes,416,2,Scottish Register of Tartans; Scottish Tartans Authority,1/2,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=628,,4500,"Millar, Susan",01/01/1988,District,,
"Cherry, John S (Personal)",cherry-john-s-personal,AR/8 NB72 R70 DG4 R4 DG16 W/8,NB#000080 NAVY; AR#E3170D ANCIENT SCARLET; R#FF0000 RED; W#FFFFFF BLEACHED WHITE; DG#006400 DARK GREEN;,yes,348,2,Scottish Register of Tartans; Scottish Tartans Authority,1/2,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=10341,,,"Brown, Jonathan",07/01/2011,Name,"Yes. For the personal use of John S Cherry, his wife, and their descendantsRecommended weaver is Strathmore Woollen Company Ltd, Forfar , Angus",
"Chesters, Eric (Personal)",chesters-eric-personal,K/16 DB62 LB2 DG26 Y2 G16 K/24,K#101010 BLACK; DB#000064 DARK BLUE; LB#98C8E8 LIGHT BLUE; DG#003C14 DARK GREEN; Y#FCCC00 YELLOW; G#006818 GREEN;,yes,256,2,Scottish Register of Tartans; Scottish Tartans Authority,1/2,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=11018,,,"Chesters, Eric",08/03/2014,Name,Yes. Intended for the exclusive use of Eric Chesters and his family.,
Chestico,chestico,B/40 T2 B2 T2 DG16 K2 W/6,B#000080 BLUE; T#98481C TAN; DG#005020 DARK GREEN; K#101010 BLACK; W#FFFFFF WHITE;,yes,94,2,Scottish Register of Tartans; Scottish Tartans Authority,1/2,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=10867,,,"Smith, Mary, Ann & Rachel",01/07/1993,District,"Yes. Permission to weave this tartan can be sought from: Chestico Museum & Historical Society PO Box 144, 8095 Route 19 Port Hood, Nova Scotia, Canada B0E 2W0 phone: 902-787-2244 web: chesticoplace.com email: chesticomuseum@ns.aliantzinc.ca",
Chieftain's,chieftain-s,B/32 BG32 K4 KR4 YY4 B8 BG8 K4 KR4 YY4 B32 BG/32,K#101010 BLACK; KR#C80000 RED; YY#E0E0A0 YELLOW; BG#549C68 ANC GREEN; B#1870A4 ANC BLUE;,yes,272,2,Scottish Register of Tartans; Scottish Tartans Authority,2/2,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=632,,7240,"Michael Gradl,",01/01/2007,Corporate,,
"Child, The",child-the,MP20 K2 MG8 K2 MP20 R8 MP20 K2 LC8 K2 MP20 Y8,MG#003800 MEDIUM GREEN; R#8C0000 RED; Y#C88C00 YELLOW; K#000000 BLACK; MP#944090 MAUVE; LC#C82800 GOV CRIMSON;,no,120,2,Scottish Register of Tartans; Scottish Tartans Authority,2/2,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=633,2901,4139,"McAllister, Sharon",01/09/2000,Fashion,,
Children In Need,children-in-need,W8 K40 Y40 K8 Y40 K40 W8 K40 LR40 K8 LR40 K40 W8 K40 LB40 K8 LB40 K40,W#E0E0E0 WHITE; K#101010 BLACK; LR#E08070 ROSE; Y#E8C000 YELLOW; LB#2888C4 LIGHT BLUE;,no,528,2,Scottish Register of Tartans; Scottish Tartans Authority,1/2,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=5813,,7863,"Walker, Ruth",01/12/2008,Corporate,,
Chinzei Keiai Junior High School,chinzei-keiai-junior-high-school,N/4 DN4 K6 DN32 K4 DN4 K32 LP6 DN/6,N#646464 GREY; DN#505050 DARK GREY; K#101010 BLACK; LP#C49CD8 LIGHT PURPLE;,yes,186,2,Scottish Register of Tartans; Scottish Tartans Authority,1/2,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=10920,,,Lochcarron of Scotland,26/09/2013,Corporate,Yes. Intended for the exclusive use of Keiai Junior High School.Prepared for weaving by Lochcarron of Scotland.,
Chinzei Keiai School,chinzei-keiai-school,W/4 G4 DR6 G32 BN4 K4 BN32 LP6 DR/6,K#101010 BLACK; BN#14283C BLUE GREY; DR#880000 DARK RED; LP#B468AC MAUVE; W#E0E0E0 WHITE; G#006818 GREEN;,yes,186,2,Scottish Register of Tartans; Scottish Tartans Authority,2/2,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=637,,5741,"Hall, Fiona",01/01/2002,Corporate,,
Chinzei Keiai Senior High School,chinzei-keiai-senior-high-school,LN/4 DN4 K6 DN32 K4 DN4 K32 N6 DN/6,LN#B0B0B0 LIGHT GREY; DN#505050 DARK GREY; K#101010 BLACK; N#888888 GREY;,yes,186,2,Scottish Register of Tartans; Scottish Tartans Authority,2/2,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=10922,,,Lochcarron of Scotland,26/09/2013,Corporate,Yes. Intended for the exclusive use of Keiai Senior High School.Developed for weaving by Lochcarron of Scotland,
Chisholm Hunting,chisholm-hunting,C/6 G32 B4 G6 B4 G6 B14 C64 W4 C/14,C#960028 RED; G#005020 MOD GREEN; B#2C4084 BLUE; W#E0E0E0 WHITE;,yes,288,2,Scottish Register of Tartans; House of Tartan,2/2,Scottish Register of Tartans,Weddslist,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=640,1457,,,,Clan; Family,,
Choinka Family (Inverness),choinka-family-inverness,G/8 K4 B6 K4 G40 K18 T14 K4 Y6 K4 T/8,B#3E647A AZURE BLUE; G#124B24 OLD GREEN; Y#D3CC20 OLD YELLOW; K#120A01 BLACK;,yes,216,2,Scottish Register of Tartans; Scottish Tartans Authority,1/2,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=10624,,,"Choinka, Przemyslaw",18/05/2012,Name,,
Christian Dress (Personal),christian-dress-personal,R6 WW4 B54 K38 WW54 P4 Y6,R#C80000 RED; B#2C2C80 BLUE; K#101010 BLACK; P#780078 PURPLE; Y#E8C000 YELLOW; WW#F8F8F8 WILSON WHITE;,no,166,2,Scottish Register of Tartans; Scottish Tartans Authority,2/2,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=646,,6831,"Wilson, Peter",01/01/2005,Name,,
Christie,christie,R/24 WW8 R24 G36 K4 WW8 K4 Y8 K16 RB16 K8 RB8 R/24,G#004C00 DARK GRN; K#000000 BLACK; RB#00008C BALMORAL; R#C80000 RED; WW#FCFCFC WILSON WHITE; Y#E8C000 YELLOW;,yes,328,2,Scottish Register of Tartans; Scottish Tartans Authority,2/2,Scottish Register of Tartans,Weddslist,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=648,1355,1355,Ingles Buchan,01/01/1986,Clan; Family,,
Christie (London) Hunting,christie-london-hunting,VDG/120 W22 R10 B10 K2 Y/8,VDG#1E2925 HOLLY GREEN; W#A2A093 MUTED WHITE; R#8B2316 OLD RED; B#47426A BALMORAL BLUE; K#101010 BLACK; Y#A37A28 GOLDEN YELLOW;,yes,216,2,Scottish Register of Tartans; Scottish Tartans Authority,1/2,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=10294,,,"Christie, Shawn E R",17/09/2010,Name,,
Christmas,christmas,DG/2 R30 G8 DG34 Y/4,DG#0E3923 DARK GREEN; G#207449 GREEN; R#BB001A RED; Y#E3B235 YELLOW;,yes,150,2,Scottish Register of Tartans; Scottish Tartans Authority,1/2,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=10554,,,"Murison-McGowan, Ina",25/12/2011,Fashion,"Yes. Woven by Tartans 4 Africa, South Africa.Copyright held by Tartans4Africa.",
Christmas Hill Game Farm,christmas-hill-game-farm,T/10 LT40 ZR6 DG26 T26 P6 PB/6,T#4C3400 BROWN; LT#A08858 LIGHT BROWN; ZR#A00000 RUST; DG#004828 DARK GREEN; P#500050 PURPLE; PB#00CCD0 PURPLEBLUE;,yes,224,2,Scottish Register of Tartans; Scottish Tartans Authority,1/2,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=5777,,7821,,,Corporate,,
Christopher Newport University,christopher-newport-university,B/10 K2 LN4 K2 W12 K2 LN4 B50 LN/4,LN#C8C8C8 SILVER; B#000080 BLUE; K#101010 BLACK; W#FFFFFF WHITE;,yes,166,2,Scottish Register of Tartans; Scottish Tartans Authority,1/2,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=10862,,,"Cannon, Michael",01/06/2012,Corporate,"Yes. The Christopher Newport University Tartan is intended for the corporate use of Christopher Newport University only.For permission to weave or use this tartan in any way, contact the Christopher Newport Alumni Society at Office of Alumni Relations, Christopher Newport University, 1 Avenue of the Arts, Newport News, VA 23606 or email: alumni@cnu.edu",
ChuMac (Personal),chumac-personal,G/90 Y18 R18 P48 W/12,G#006430 GREEN; P#543060 HIGHLAND PURPLE; W#E8E8E8 PEROXIDE WHITE; R#E01C18 BRIGHT SCARLET; Y#F0C400 GOLD;,yes,270,2,Scottish Register of Tartans; Scottish Tartans Authority,1/2,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=10852,,,"Chubays, Alex",20/05/2013,Name,"Yes. Intended for the exclusive use of Alex Chubays and his family.Prepared for weaving by House of Tartan Ltd, Scotland",
Churchill (Personal),churchill-personal,DB/48 K4 A8 K4 B36 K28 P8 K8 P8 Y4 R/8,A#5C8CA8 AZURE; K#101010 BLACK; DB#202060 DARK BLUE; P#780078 PURPLE; Y#E8C000 YELLOW; B#2C2C80 BLUE;,yes,272,2,Scottish Register of Tartans; Scottish Tartans Authority,1/2,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=649,2720,4031,"Smith, Donald Suttie",01/09/2000,Name,,
Citadel Military Academy,citadel-military-academy,R/6 K4 LB36 RB20 DW6 RB4 DW4 RB10 DW4 RB4 DW6 RB20 LB36 K4 Y/6,K#101010 BLACK; LB#2888C4 LIGHT BLUE; RB#1C0070 ROYAL BLUE; Y#E8C000 YELLOW; R#C80000 RED; DW#B8B8B8 OFF WHITE;,yes,328,2,Scottish Register of Tartans; Scottish Tartans Authority,2/2,Scottish Register of Tartans,Weddslist,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=652,1572,1572,"Grant-Alexander, Ludovic",01/01/1979,Military,,
City Building (Glasgow) LLP,city-building-glasgow-llp,K/6 DN12 K16 LN4 K16 DN6 K10 DN72 K4 DN/6,K#101010 BLACK; N#888888 GRAY; LN#A0A0A0 LIGHT GRAY; DN#5C5C5C DARK GREY;,yes,292,2,Scottish Register of Tartans; Scottish Tartans Authority,2/2,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=653,,7111,"Anderson, Kirsty",01/02/2007,Corporate,,
City of Armadale,city-of-armadale,G/8 R4 G4 R58 G30 K6 G4 K4 G4 K/42,K#101010 BLACK; S#C80028 SCARLET; ZZ#808080 MISSING COLOUR; R#C80000 RED; G#006818 GREEN;,yes,278,2,Scottish Register of Tartans; Scottish Tartans Authority,2/2,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=654,,5868,House of Edgar - Macnaughton Holdings Ltd.,01/01/2003,District,,
City of Barrie,city-of-barrie,AB/100 R6 AB8 K16 N8 K4 Y6 K4 R24 W4 R8 AB/8,AB#1870A4 ANC BLUE; K#101010 BLACK; N#888888 GREY; R#C80000 RED; W#E0E0E0 WHITE; Y#E8C000 YELLOW;,yes,284,2,Scottish Register of Tartans; Scottish Tartans Authority,2/2,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=655,,5809,,01/01/2002,District,,
City of Edinburgh (2001),city-of-edinburgh-2001,K6 WW8 K6 WW8 K6 R36 G2 N36 R2 LB36 WW2 G36 K2 N36 LB2 R36,WW#F8F8F8 WILSON WHITE; N#888888 GRAY; R#C80000 RED; G#006818 GREEN; LB#2888C4 LIGHT BLUE; K#101010 BLACK;,no,260,2,Scottish Register of Tartans; Scottish Tartans Authority,2/2,Scottish Register of Tartans,Weddslist,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=656,,6396,Lochcarron of scotland,01/06/2001,District,,
City of Kincardine,city-of-kincardine,G/6 DB32 G32 AL12 DB72 G/8,B#2C2C80 BLUE; G#006818 GREEN; SB#A8ACE8 SKY BLUE; LSB#98C8E8 LIGHT SKY; AL#48A4C0 ANDERSON BLUE; DB#202060 DARK BLUE;,yes,310,2,Scottish Register of Tartans; Scottish Tartans Authority,2/2,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=657,2590,2590,Strathmore Woollen Company Ltd,01/01/1987,District,,
City of London,city-of-london,K/10 N48 W48 R/10,W#FFFFFF WHITE; N#666666 MID GREY; K#101010 BLACK;,yes,212,2,Scottish Register of Tartans; Scottish Tartans Authority,1/2,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=10734,,,Lochcarron of Scotland,17/05/2012,Corporate,Yes. Only to be worn by the City of London Corporation.Only to be woven by Lochcarron of Scotland.,
City of New Bern 300,city-of-new-bern-300,DR/24 K4 Y4 K4 DR4 K4 Y4 K4 DR24 K2 W4 B6 W4 K2 DR24 K4 Y4 K/4,DR#760F06 DARK RED; Y#FFFF00 YELLOW; B#26338F BLUE; K#101010 BLACK; W#FFFFFF WHITE;,yes,232,2,Scottish Register of Tartans; Scottish Tartans Authority,1/2,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=10034,,,Brian Dodds,05/05/2009,District,Yes. NoDesigned using the Scotweb facility and therefore subject to Scotweb's exclusive right to weave.No,
City of Pointe-Claire,city-of-pointe-claire,B/16 W4 T4 K8 B16 T8 W4 T4 W4 T/4,T#866C5A TAN; B#285E99 BLUE; W#FFFFFF WHITE; K#000000 BLACK;,yes,124,2,Scottish Register of Tartans; Scottish Tartans Authority,1/2,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=10509,,,Lakeshore Weavers Guild,08/08/2011,District,"Yes. Weaving to be controlled by Lakeshore Weavers Guild, Pointe-Claire, Quebec, Canada.",
City of Rome Pipe Band,city-of-rome-pipe-band,Y/6 B6 K6 B45 K88 O6 M/12,B#2C2C80 BLUE; M#901C38 MARROON; O#D87C00 ORANGE; Y#E8C000 YELLOW; NB#003C64 NAVY BLUE; K#101010 BLACK;,yes,320,2,Scottish Register of Tartans; Scottish Tartans Authority,2/2,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=4911,3068,6697,"Clark, Ken & Band members",,District,,
City of Sarnia,city-of-sarnia,DB/20 K4 W4 K6 W4 K20 DB20 K2 R4 K2 DB20 K20 DB20 K2 Y/4,Y#FFE600 YELLOW; K#101010 BLACK; DB#000080 DARK BLUE; R#FF0000 RED; W#FFFFFF WHITE;,yes,280,2,Scottish Register of Tartans; Scottish Tartans Authority,1/2,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=10494,,,Burnett's & Struth Scottish Regalia Ltd.,01/08/2011,District,Yes. This tartan can be worn by members of the Sarnia Legion Pipe Band. If anyone else would like to wear the tartan please contact Burnett's & Struth Scottish Regalia and we will seek permission to wear the tartan on your behalf.This tartan can not be woven without the written permission of the City of Sarnia. This can be applied for through Burnett's & Struth Scottish Regalia Ltd.,
Clack (Personal),clack-personal,DB/8 G34 DG2 B4 K12 G4 DG24 G4 K12 B4 DG2 B36 W/4,W#E0E0E0 WHITE; K#101010 BLACK; B#2C2C80 BLUE; DG#003820 DARK GREEN; G#006818 GREEN; DB#202060 DARK BLUE;,yes,288,2,Scottish Register of Tartans; Scottish Tartans Authority,2/2,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=5402,,3928,"Davidson, Mr J M",,Name,,
Cladish,cladish,LT/10 BL4 LT54 AW32 AY2 TK54 AY5 TK/10,TK#8C7038 KHAKI; AY#DC943C ANC YELLOW; LT#A08858 LIGHT BROWN; AW#E8CCB8 ANC WHITE; BL#1474B4 BALMORAL BLUE;,yes,322,2,Scottish Register of Tartans; Scottish Tartans Authority,2/2,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=659,,6011,Marton Mills,01/01/2003,Fashion,,
Clan Haggis World (Corporate),clan-haggis-world-corporate,R/26 Y26 G26 B44 W/8,R#CA2625 BRIGHT SCARLET; G#649848 ROSS GREEN; W#F9F5EF PEROXIDE WHITE; B#1044AD COBALT BLUE; Y#F8F85D LASER LEMON;,yes,226,2,Scottish Register of Tartans; Scottish Tartans Authority,1/2,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=10781,,,Clan Haggis World Ltd,22/01/2013,Corporate,Yes. For the corporate use of Clan Haggis World Limited only.,
Clan MacLeod Societies of Canada,clan-macleod-societies-of-canada,G/8 W4 B8 W58 R58 K8 Y4 K/8,K#101010 BLACK; Y#FFE600 YELLOW; R#DC0000 RED; W#FFFFFF WHITE; B#1C0070 BLUE; G#289C18 GREEN;,yes,296,2,Scottish Register of Tartans; Scottish Tartans Authority,1/2,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=11191,,,"MacLeod, Ian C",26/11/2014,Corporate,,
Clanedin (Commemorative),clanedin-commemorative,WW/6 KK20 BDY4 KK8 WW4 KK6 WW4 KK4 WW12 BB6 WW12 KK4 WW4 KK6 WW4 KK16 DR/6,WW#C89800; KK#C8C8C8; BDY#C8C8C8; DR#C89800; BB#64340C;,yes,240,2,Scottish Tartans Authority; Weddslist,1/2,Scottish Tartans Authority,,http://www.tartansauthority.com/tartan-ferret/display/1619/,,,,,,,
"Clanranald, MacDonald of",clanranald-macdonald-of,WB/32 WS4 WB4 WS14 WB62 WS4 KK64 W6 WG62 WS14 WG4 WS4 WG/32,WB#000048 BLUE; WS#C80000 SCARLET; WG#044028 GREEN; KK#000000 BLACK; W#C8C8C8 WHITE;,yes,548,2,Scottish Register of Tartans; Scottish Tartans Authority,2/2,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=661,,4521,Wilsons of Bannockburn,01/01/1819,Clan; Family,,
Clanton (Personal),clanton-personal,P/4 K8 DR28 N16 DR8 K16 DR28 N8 P/4,K#101010 BLACK; DR#880000 DARK RED; P#780078 PURPLE; N#888888 GRAY;,yes,232,2,Scottish Register of Tartans; Scottish Tartans Authority,2/2,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=663,2734,4000,,01/09/2000,Name,Yes.,
"Clare, County",clare-county,DR/6 DP28 DG28 DP4 DR28 DP4 DR28 DG28 DP4 YT/6,DG#003820 DARK GREEN; DP#440044 DARK PURPLE; DR#880000 DARK RED; YT#D8B000 TAN YELLOW;,yes,316,2,Scottish Register of Tartans; Scottish Tartans Authority,2/2,Scottish Register of Tartans,,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=664,2248,2248,House of Edgar - Macnaughton Holdings Ltd.,01/01/1996,District,,
